0.294	0.029	0.314	0.015
0.398	0.04	0.388	0.013
0.159	0.016	0.1923	0.0082
0.551	0.055	0.528	0.028
0.148	0.015	0.193	0.011
0.276	0.028	0.308	0.013
0.13	0.013	0.168	0.0085
0.645	0.064	0.604	0.026
0.464	0.046	0.46	0.022
0.258	0.026	0.28	0.016
0.653	0.065	0.626	0.032
0.401	0.04	0.414	0.017
0.132	0.013	0.1731	0.0078
0.654	0.065	0.62	0.021
0.144	0.014	0.187	0.01
0.44	0.044	0.443	0.017
0.251	0.025	0.277	0.014
0.235	0.023	0.273	0.015
0.614	0.061	0.599	0.021
0.174	0.017	0.204	0.012
0.508	0.051	0.512	0.022
0.246	0.025	0.278	0.01
0.521	0.052	0.498	0.017
0.343	0.034	0.364	0.014
0.338	0.034	0.352	0.019
0.309	0.031	0.347	0.015
0.415	0.042	0.424	0.016
0.639	0.064	0.628	0.031
0.189	0.019	0.233	0.012
0.166	0.017	0.2043	0.0092
0.255	0.025	0.274	0.011
0.744	0.074	0.687	0.023
0.651	0.065	0.608	0.02
0.472	0.047	0.444	0.017
0.492	0.049	0.452	0.019
0.413	0.041	0.421	0.019
0.161	0.016	0.2005	0.0079
0.262	0.026	0.284	0.013
0.633	0.063	0.581	0.019
0.646	0.065	0.601	0.02
0.593	0.059	0.568	0.022
0.229	0.023	0.264	0.011
0.552	0.055	0.525	0.024
0.226	0.023	0.263	0.01
0.245	0.024	0.269	0.011
0.127	0.013	0.1635	0.008
0.294	0.029	0.321	0.015
0.251	0.025	0.284	0.013
0.154	0.015	0.1948	0.0096
0.471	0.047	0.423	0.015
0.432	0.043	0.419	0.019
0.163	0.016	0.201	0.011
0.444	0.044	0.46	0.017
0.352	0.035	0.358	0.013
0.564	0.056	0.543	0.025
0.283	0.028	0.315	0.012
0.397	0.04	0.404	0.019
0.397	0.04	0.385	0.016
0.29	0.029	0.315	0.016
0.633	0.063	0.626	0.025
0.348	0.035	0.354	0.018
0.513	0.051	0.523	0.019
0.452	0.045	0.461	0.017
0.238	0.024	0.273	0.013
0.607	0.061	0.55	0.026
0.532	0.053	0.518	0.021
0.47	0.047	0.485	0.019
0.153	0.015	0.1902	0.0082
0.262	0.026	0.296	0.014
0.299	0.03	0.321	0.016
0.707	0.071	0.651	0.019
0.525	0.053	0.522	0.019
0.406	0.041	0.435	0.017
0.52	0.052	0.497	0.02
0.426	0.043	0.42	0.016
0.152	0.015	0.198	0.01
0.246	0.025	0.276	0.012
0.265	0.027	0.295	0.016
0.128	0.013	0.1646	0.0076
0.386	0.039	0.389	0.013
0.39	0.039	0.383	0.013
0.154	0.015	0.1901	0.0085
0.336	0.034	0.376	0.018
0.445	0.044	0.449	0.019
0.168	0.017	0.1967	0.0077
0.154	0.015	0.1903	0.0091
0.387	0.039	0.39	0.018
0.701	0.07	0.669	0.038
0.703	0.07	0.643	0.037
0.603	0.06	0.591	0.022
0.467	0.047	0.466	0.025
0.698	0.07	0.646	0.02
0.541	0.054	0.539	0.019
0.597	0.06	0.598	0.025
0.461	0.046	0.461	0.024
0.527	0.053	0.483	0.016
0.526	0.053	0.494	0.017
0.465	0.046	0.478	0.016
0.256	0.026	0.276	0.012
0.405	0.04	0.414	0.015
0.273	0.027	0.31	0.013
0.331	0.033	0.347	0.015
0.292	0.029	0.311	0.012
0.152	0.015	0.187	0.011
0.279	0.028	0.318	0.013
0.423	0.042	0.437	0.02
0.315	0.032	0.331	0.012
0.294	0.029	0.325	0.012
0.151	0.015	0.1936	0.0097
0.503	0.05	0.475	0.026
0.204	0.02	0.233	0.011
0.228	0.023	0.262	0.011
0.534	0.053	0.507	0.018
0.266	0.027	0.286	0.012
0.375	0.037	0.384	0.017
0.364	0.036	0.382	0.016
0.706	0.071	0.649	0.02
0.549	0.055	0.543	0.019
0.587	0.059	0.541	0.019
0.405	0.041	0.414	0.015
0.442	0.044	0.424	0.015
0.43	0.043	0.44	0.017
0.155	0.015	0.1863	0.0071
0.4	0.04	0.396	0.018
0.455	0.046	0.464	0.018
0.247	0.025	0.273	0.011
0.471	0.047	0.459	0.016
0.583	0.058	0.557	0.021
0.247	0.025	0.291	0.013
0.341	0.034	0.372	0.017
0.369	0.037	0.394	0.019
0.334	0.033	0.351	0.013
0.248	0.025	0.273	0.011
0.184	0.018	0.217	0.0087
0.17	0.017	0.2008	0.0076
0.604	0.06	0.57	0.02
0.296	0.03	0.31	0.012
0.303	0.03	0.323	0.014
0.475	0.047	0.474	0.016
0.206	0.021	0.2338	0.0093
0.222	0.022	0.258	0.01
0.176	0.018	0.2084	0.0097
0.212	0.021	0.251	0.016
0.421	0.042	0.417	0.016
0.15	0.015	0.1831	0.0097
0.432	0.043	0.443	0.018
0.224	0.022	0.266	0.012
0.581	0.058	0.529	0.017
0.452	0.045	0.456	0.028
0.641	0.064	0.602	0.023
0.356	0.036	0.369	0.016
0.579	0.058	0.557	0.023
0.59	0.059	0.546	0.019
0.482	0.048	0.47	0.018
0.246	0.025	0.289	0.012
0.62	0.062	0.575	0.03
0.644	0.064	0.6	0.026
0.578	0.058	0.563	0.024
0.328	0.033	0.363	0.014
0.574	0.057	0.549	0.018
0.68	0.068	0.643	0.022
0.644	0.064	0.589	0.035
0.391	0.039	0.416	0.02
0.585	0.058	0.539	0.02
0.379	0.038	0.409	0.016
0.24	0.024	0.303	0.013
0.145	0.015	0.1894	0.0079
0.149	0.015	0.1864	0.0086
0.202	0.02	0.238	0.013
0.408	0.041	0.407	0.014
0.275	0.027	0.315	0.015
